q05.r0: pass 12881ms frags=7 {'sender': 6, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 10925), ('sender', '127.0.0.1:9102', 775), ('sender', '127.0.0.1:9102', 38)] fail=0 cancels=11 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 4}
q05.r1: pass 5403ms frags=7 {'sender': 6, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 4432), ('sender', '127.0.0.1:9102', 514), ('sender', '127.0.0.1:9102', 25)] fail=0 cancels=11 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 4}
q05.r2: pass 5721ms frags=7 {'sender': 6, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 4773), ('sender', '127.0.0.1:9102', 504), ('sender', '127.0.0.1:9102', 26)] fail=0 cancels=11 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 4}
q08.r0: pass 3902ms frags=9 {'sender': 8, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 2996), ('sender', '127.0.0.1:9102', 407), ('sender', '127.0.0.1:9102', 32)] fail=0 cancels=11 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q08.r1: pass 3775ms frags=9 {'sender': 8, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 2912), ('sender', '127.0.0.1:9102', 415), ('sender', '127.0.0.1:9102', 34)] fail=0 cancels=11 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q08.r2: pass 3765ms frags=9 {'sender': 8, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 2926), ('sender', '127.0.0.1:9102', 406), ('sender', '127.0.0.1:9102', 32)] fail=0 cancels=11 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q09.r0: pass 5149ms frags=7 {'sender': 6, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 4376), ('sender', '127.0.0.1:9102', 233), ('sender', '127.0.0.1:9102', 152)] fail=0 cancels=9 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q09.r1: pass 5206ms frags=7 {'sender': 6, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 4465), ('sender', '127.0.0.1:9102', 208), ('sender', '127.0.0.1:9102', 163)] fail=0 cancels=9 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q09.r2: pass 5100ms frags=7 {'sender': 6, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 4353), ('sender', '127.0.0.1:9102', 193), ('sender', '127.0.0.1:9102', 185)] fail=0 cancels=9 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q17.r0: pass 4803ms frags=3 {'sender': 2, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 2312), ('sender', '127.0.0.1:9102', 2154), ('result', '127.0.0.1:9102', 4)] fail=0 cancels=5 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q17.r1: pass 4939ms frags=3 {'sender': 2, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 2616), ('sender', '127.0.0.1:9102', 2055), ('result', '127.0.0.1:9102', 4)] fail=0 cancels=5 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q17.r2: pass 4973ms frags=3 {'sender': 2, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 2617), ('sender', '127.0.0.1:9102', 2093), ('result', '127.0.0.1:9102', 3)] fail=0 cancels=5 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q18.r0: pass 3265ms frags=4 {'sender': 3, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 1600), ('sender', '127.0.0.1:9102', 1210), ('sender', '127.0.0.1:9102', 99)] fail=0 cancels=7 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 3}
q18.r1: pass 3239ms frags=4 {'sender': 3, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 1584), ('sender', '127.0.0.1:9102', 1216), ('sender', '127.0.0.1:9102', 96)] fail=0 cancels=7 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 3}
q18.r2: pass 3273ms frags=4 {'sender': 3, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 1625), ('sender', '127.0.0.1:9102', 1215), ('sender', '127.0.0.1:9102', 100)] fail=0 cancels=7 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 3}
q21.r0: pass 10585ms frags=7 {'sender': 6, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 6676), ('sender', '127.0.0.1:9102', 3159), ('sender', '127.0.0.1:9102', 179)] fail=0 cancels=9 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q21.r1: pass 10661ms frags=7 {'sender': 6, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 6783), ('sender', '127.0.0.1:9102', 3136), ('sender', '127.0.0.1:9102', 182)] fail=0 cancels=9 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
q21.r2: pass 10580ms frags=7 {'sender': 6, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 6806), ('sender', '127.0.0.1:9102', 3125), ('sender', '127.0.0.1:9102', 173)] fail=0 cancels=9 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix4_fused': 2}
