nation	o_year	sum_profit
ALGERIA	1998	27364918537.43176
ALGERIA	1997	46540337202.474556
ALGERIA	1996	46607966730.059395
ALGERIA	1995	46587657748.43643
ALGERIA	1994	46636127467.45937
ALGERIA	1993	46605744722.15944
ALGERIA	1992	46704104396.13253
ARGENTINA	1998	27248288078.066723
ARGENTINA	1997	46330173207.095375
ARGENTINA	1996	46524729535.84695
ARGENTINA	1995	46419391239.85823
ARGENTINA	1994	46324881303.37876
ARGENTINA	1993	46382957813.95173
ARGENTINA	1992	46520570588.71245
BRAZIL	1998	27318403655.99555
BRAZIL	1997	46699169500.54362
BRAZIL	1996	46782003730.23531
BRAZIL	1995	46725621897.61772
BRAZIL	1994	46659523588.29956
BRAZIL	1993	46607300224.37808
BRAZIL	1992	46830844301.79675
CANADA	1998	27395067164.104225
CANADA	1997	46746501630.179596
CANADA	1996	46903730678.56782
CANADA	1995	46734104459.058395
CANADA	1994	46728305660.67256
CANADA	1993	46693751203.041534
CANADA	1992	46870054364.50827
CHINA	1998	27281343171.886345
CHINA	1997	46645717678.99816
CHINA	1996	46714325932.277
CHINA	1995	46568973333.44543
CHINA	1994	46544213517.11998
CHINA	1993	46591430143.169525
CHINA	1992	46729327704.675446
EGYPT	1998	27313350182.66397
EGYPT	1997	46659974631.373
EGYPT	1996	46780446155.449356
EGYPT	1995	46644135006.97636
EGYPT	1994	46625310784.93561
EGYPT	1993	46674536509.526436
EGYPT	1992	46779717895.14604
ETHIOPIA	1998	27369072710.539948
ETHIOPIA	1997	46582310024.529045
ETHIOPIA	1996	46734487616.51806
ETHIOPIA	1995	46687739571.65342
ETHIOPIA	1994	46729134734.07133
ETHIOPIA	1993	46658206640.06979
ETHIOPIA	1992	46832302178.019775
FRANCE	1998	27265299195.18864
FRANCE	1997	46540714936.96185
FRANCE	1996	46704590909.05942
FRANCE	1995	46479948293.36768
FRANCE	1994	46578153083.07756
FRANCE	1993	46561781293.44028
FRANCE	1992	46615126208.0782
GERMANY	1998	27287914437.763725
GERMANY	1997	46467305831.02145
GERMANY	1996	46670921046.41631
GERMANY	1995	46452546330.080124
GERMANY	1994	46466402245.74192
GERMANY	1993	46470731368.29873
GERMANY	1992	46591585957.05303
INDIA	1998	27308092904.96732
INDIA	1997	46593129427.93764
INDIA	1996	46684432718.324554
INDIA	1995	46542895649.48986
INDIA	1994	46481826697.71152
INDIA	1993	46529426506.0707
INDIA	1992	46669048616.71366
INDONESIA	1998	27406524795.82382
INDONESIA	1997	46695720581.877426
INDONESIA	1996	46794768785.29772
INDONESIA	1995	46639678405.03051
INDONESIA	1994	46708679444.367874
INDONESIA	1993	46638049508.33452
INDONESIA	1992	46820704284.23967
IRAN	1998	27290877610.36691
IRAN	1997	46399980252.46265
IRAN	1996	46565652248.83064
IRAN	1995	46451020249.65188
IRAN	1994	46571241667.31792
IRAN	1993	46487735114.90281
IRAN	1992	46586216459.61979
IRAQ	1998	27265956716.867485
IRAQ	1997	46559714843.04907
IRAQ	1996	46553540264.78314
IRAQ	1995	46415462135.590866
IRAQ	1994	46451204774.015335
IRAQ	1993	46480655695.764244
IRAQ	1992	46649223471.23462
JAPAN	1998	27346346820.08125
JAPAN	1997	46521215471.34857
JAPAN	1996	46667978548.02676
JAPAN	1995	46573580894.49431
JAPAN	1994	46581830900.95459
JAPAN	1993	46537597865.35988
JAPAN	1992	46669624134.54851
JORDAN	1998	27204559872.364464
JORDAN	1997	46482207483.90118
JORDAN	1996	46605619420.28943
JORDAN	1995	46535152738.812256
JORDAN	1994	46518196783.79763
JORDAN	1993	46428770711.52032
JORDAN	1992	46633058808.71527
KENYA	1998	27295556542.38687
KENYA	1997	46495459618.13054
KENYA	1996	46586083508.23486
KENYA	1995	46487906614.3769
KENYA	1994	46442044501.06155
KENYA	1993	46426245812.12533
KENYA	1992	46608537906.69676
MOROCCO	1998	27295928472.754967
MOROCCO	1997	46511860672.38046
MOROCCO	1996	46599614103.766754
MOROCCO	1995	46500259021.211075
MOROCCO	1994	46479117393.020195
MOROCCO	1993	46560464575.08334
MOROCCO	1992	46708065026.26501
MOZAMBIQUE	1998	27314854177.187416
MOZAMBIQUE	1997	46618298907.11368
MOZAMBIQUE	1996	46793857080.56303
MOZAMBIQUE	1995	46610901785.61948
MOZAMBIQUE	1994	46636598881.19365
MOZAMBIQUE	1993	46551838594.20361
MOZAMBIQUE	1992	46754307440.1143
PERU	1998	27377204662.86945
PERU	1997	46626096990.719574
PERU	1996	46763316079.838524
PERU	1995	46736161651.03689
PERU	1994	46726529762.25839
PERU	1993	46685898955.090164
PERU	1992	46753099756.91759
ROMANIA	1998	27275729772.148216
ROMANIA	1997	46625431759.80691
ROMANIA	1996	46819031117.52108
ROMANIA	1995	46587632442.93954
ROMANIA	1994	46693228482.88154
ROMANIA	1993	46647052882.954895
ROMANIA	1992	46830623226.68904
RUSSIA	1998	27262223462.292694
RUSSIA	1997	46459055987.47366
RUSSIA	1996	46568067633.54315
RUSSIA	1995	46387842743.74126
RUSSIA	1994	46494907104.99682
RUSSIA	1993	46410178097.23493
RUSSIA	1992	46587077580.65659
SAUDI ARABIA	1998	27300893599.78261
SAUDI ARABIA	1997	46565951120.75075
SAUDI ARABIA	1996	46752979410.631744
SAUDI ARABIA	1995	46603255010.69331
SAUDI ARABIA	1994	46571132729.050705
SAUDI ARABIA	1993	46505578111.36968
SAUDI ARABIA	1992	46751943881.20098
UNITED KINGDOM	1998	27240248014.501415
UNITED KINGDOM	1997	46490900664.791016
UNITED KINGDOM	1996	46585367409.20235
UNITED KINGDOM	1995	46490318190.731834
UNITED KINGDOM	1994	46479123815.461975
UNITED KINGDOM	1993	46535439518.820984
UNITED KINGDOM	1992	46533693541.10091
UNITED STATES	1998	27218187172.83108
UNITED STATES	1997	46331330678.03951
UNITED STATES	1996	46513273049.866714
UNITED STATES	1995	46485278799.99232
UNITED STATES	1994	46473389674.8249
UNITED STATES	1993	46399996555.004684
UNITED STATES	1992	46513503262.864105
VIETNAM	1998	27321988858.802055
VIETNAM	1997	46611160320.69558
VIETNAM	1996	46754625946.19726
VIETNAM	1995	46635682880.107994
VIETNAM	1994	46551171869.76807
VIETNAM	1993	46485232130.36738
VIETNAM	1992	46753804757.722855
