query,run,phase,status,ms,rows,start_utc
q05,0,cold,pass,12881,5,2026-09-04T22:04:06.880
q05,1,warm,pass,5403,5,2026-09-04T22:04:19.765
q05,2,warm,pass,5721,5,2026-09-04T22:04:25.171
q08,0,cold,pass,3902,2,2026-09-04T22:04:30.899
q08,1,warm,pass,3775,2,2026-09-04T22:04:34.804
q08,2,warm,pass,3765,2,2026-09-04T22:04:38.583
q09,0,cold,pass,5149,175,2026-09-04T22:04:42.355
q09,1,warm,pass,5206,175,2026-09-04T22:04:47.507
q09,2,warm,pass,5100,175,2026-09-04T22:04:52.717
q17,0,cold,pass,4803,1,2026-09-04T22:04:57.823
q17,1,warm,pass,4939,1,2026-09-04T22:05:02.630
q17,2,warm,pass,4973,1,2026-09-04T22:05:07.573
q18,0,cold,pass,3265,100,2026-09-04T22:05:12.552
q18,1,warm,pass,3239,100,2026-09-04T22:05:15.821
q18,2,warm,pass,3273,100,2026-09-04T22:05:19.063
q21,0,cold,pass,10585,100,2026-09-04T22:05:22.342
q21,1,warm,pass,10661,100,2026-09-04T22:05:32.931
q21,2,warm,pass,10580,100,2026-09-04T22:05:43.595
