q05.r0: pass 6621ms frags=39 {'sender': 38, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9122', 3091), ('sender', '127.0.0.1:9112', 2974), ('sender', '127.0.0.1:9132', 2818)] fail=0 cancels=39 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q05.r1: pass 5329ms frags=39 {'sender': 38, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9112', 3421), ('sender', '127.0.0.1:9132', 3383), ('sender', '127.0.0.1:9122', 2778)] fail=0 cancels=39 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q05.r2: pass 3241ms frags=39 {'sender': 38, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9112', 1567), ('sender', '127.0.0.1:9102', 1315), ('sender', '127.0.0.1:9132', 1161)] fail=0 cancels=39 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q08.r0: pass 3323ms frags=52 {'sender': 51, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 1116), ('sender', '127.0.0.1:9122', 1101), ('sender', '127.0.0.1:9112', 1100)] fail=0 cancels=52 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q08.r1: pass 3247ms frags=52 {'sender': 51, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9132', 1124), ('sender', '127.0.0.1:9122', 1096), ('sender', '127.0.0.1:9102', 1094)] fail=0 cancels=52 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q08.r2: pass 3942ms frags=52 {'sender': 51, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9112', 2239), ('sender', '127.0.0.1:9122', 1144), ('sender', '127.0.0.1:9132', 1104)] fail=0 cancels=52 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q09.r0: fail 3978ms frags=22 {'sender': 22} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9122', 1203), ('sender', '127.0.0.1:9102', 1159), ('sender', '127.0.0.1:9132', 1142)] fail=0 cancels=41 oom_resched=0 clamped=0 futile=0 partial=0 fix={'fix2_skipped': 1, 'fix2_retired': 4}
q17.r0: pass 2810ms frags=17 {'sender': 16, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9112', 934), ('sender', '127.0.0.1:9102', 847), ('sender', '127.0.0.1:9122', 790)] fail=0 cancels=17 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q17.r1: pass 2648ms frags=17 {'sender': 16, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9122', 827), ('sender', '127.0.0.1:9132', 820), ('sender', '127.0.0.1:9102', 794)] fail=0 cancels=17 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q17.r2: pass 2652ms frags=17 {'sender': 16, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9122', 825), ('sender', '127.0.0.1:9132', 818), ('sender', '127.0.0.1:9112', 786)] fail=0 cancels=17 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q18.r0: pass 2071ms frags=25 {'sender': 24, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9132', 369), ('sender', '127.0.0.1:9122', 367), ('sender', '127.0.0.1:9102', 360)] fail=0 cancels=25 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q18.r1: pass 2029ms frags=25 {'sender': 24, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9112', 373), ('sender', '127.0.0.1:9132', 372), ('sender', '127.0.0.1:9122', 370)] fail=0 cancels=25 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q18.r2: pass 2023ms frags=25 {'sender': 24, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9132', 366), ('sender', '127.0.0.1:9122', 362), ('sender', '127.0.0.1:9102', 360)] fail=0 cancels=25 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q21.r0: pass 5220ms frags=30 {'sender': 29, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9102', 1030), ('sender', '127.0.0.1:9112', 1012), ('sender', '127.0.0.1:9132', 1010)] fail=0 cancels=30 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q21.r1: pass 5186ms frags=30 {'sender': 29, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9112', 1043), ('sender', '127.0.0.1:9122', 1029), ('sender', '127.0.0.1:9132', 1023)] fail=0 cancels=30 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
q21.r2: pass 5302ms frags=30 {'sender': 29, 'result': 1} relayed=0b/0s  cards[] slowest=[('sender', '127.0.0.1:9112', 1038), ('sender', '127.0.0.1:9102', 1038), ('sender', '127.0.0.1:9122', 1031)] fail=0 cancels=30 oom_resched=0 clamped=0 futile=0 partial=0 fix={}
