query,run,phase,status,ms,rows,start_utc
q05,0,cold,pass,6621,5,2026-09-04T22:08:08.692
q05,1,warm,pass,5329,5,2026-09-04T22:08:15.317
q05,2,warm,pass,3241,5,2026-09-04T22:08:20.651
q08,0,cold,pass,3323,2,2026-09-04T22:08:23.898
q08,1,warm,pass,3247,2,2026-09-04T22:08:27.224
q08,2,warm,pass,3942,2,2026-09-04T22:08:30.475
q09,0,cold,fail,3978,0,2026-09-04T22:08:34.424
q17,0,cold,pass,2810,1,2026-09-04T22:08:38.409
q17,1,warm,pass,2648,1,2026-09-04T22:08:41.223
q17,2,warm,pass,2652,1,2026-09-04T22:08:43.875
q18,0,cold,pass,2071,100,2026-09-04T22:08:46.534
q18,1,warm,pass,2029,100,2026-09-04T22:08:48.609
q18,2,warm,pass,2023,100,2026-09-04T22:08:50.642
q21,0,cold,pass,5220,100,2026-09-04T22:08:52.671
q21,1,warm,pass,5186,100,2026-09-04T22:08:57.894
q21,2,warm,pass,5302,100,2026-09-04T22:09:03.084
