p_brand	p_type	p_size	supplier_cnt
Brand#51	MEDIUM ANODIZED TIN	36	4754
Brand#14	SMALL BURNISHED COPPER	9	4742
Brand#14	PROMO PLATED STEEL	9	4729
Brand#32	LARGE BURNISHED TIN	49	4722
Brand#43	STANDARD BURNISHED TIN	14	4719
Brand#41	SMALL BURNISHED NICKEL	49	4715
Brand#41	SMALL PLATED COPPER	3	4711
Brand#15	PROMO PLATED BRASS	45	4710
Brand#21	SMALL BRUSHED COPPER	49	4691
Brand#33	PROMO ANODIZED STEEL	49	4689
Brand#12	ECONOMY POLISHED BRASS	3	4681
Brand#15	SMALL BURNISHED COPPER	49	4680
Brand#23	MEDIUM BRUSHED TIN	36	4675
Brand#24	SMALL ANODIZED NICKEL	3	4672
Brand#44	ECONOMY BRUSHED BRASS	19	4670
Brand#32	MEDIUM BRUSHED NICKEL	49	4669
Brand#22	PROMO ANODIZED COPPER	36	4666
Brand#24	LARGE POLISHED NICKEL	9	4666
Brand#11	PROMO BURNISHED COPPER	3	4664
Brand#44	LARGE PLATED BRASS	45	4662
Brand#51	LARGE ANODIZED NICKEL	14	4661
Brand#33	STANDARD PLATED NICKEL	49	4660
Brand#15	MEDIUM ANODIZED COPPER	14	4658
Brand#23	STANDARD BURNISHED COPPER	3	4658
Brand#11	SMALL PLATED NICKEL	49	4657
Brand#51	STANDARD BURNISHED BRASS	14	4657
Brand#22	MEDIUM PLATED NICKEL	9	4656
Brand#52	ECONOMY ANODIZED COPPER	45	4656
Brand#22	LARGE ANODIZED TIN	19	4655
Brand#34	PROMO ANODIZED TIN	45	4654
Brand#43	SMALL ANODIZED STEEL	23	4653
Brand#12	SMALL PLATED STEEL	19	4650
Brand#43	ECONOMY BRUSHED COPPER	23	4648
Brand#55	ECONOMY ANODIZED NICKEL	3	4644
Brand#13	LARGE PLATED TIN	36	4643
Brand#32	STANDARD POLISHED TIN	36	4641
Brand#22	SMALL POLISHED COPPER	19	4640
Brand#51	ECONOMY POLISHED NICKEL	9	4640
Brand#25	LARGE BRUSHED BRASS	3	4638
Brand#11	SMALL ANODIZED BRASS	45	4637
Brand#25	ECONOMY POLISHED TIN	3	4637
Brand#55	MEDIUM BURNISHED STEEL	45	4637
Brand#12	LARGE PLATED BRASS	45	4634
Brand#13	MEDIUM BRUSHED STEEL	45	4634
Brand#31	PROMO ANODIZED NICKEL	3	4634
Brand#32	STANDARD BRUSHED TIN	3	4634
Brand#12	LARGE ANODIZED COPPER	45	4633
Brand#41	SMALL BURNISHED COPPER	14	4631
Brand#22	LARGE BRUSHED TIN	14	4630
Brand#34	SMALL BURNISHED NICKEL	9	4630
Brand#13	PROMO BRUSHED TIN	45	4628
Brand#55	ECONOMY ANODIZED TIN	23	4627
Brand#35	STANDARD BURNISHED STEEL	3	4626
Brand#53	PROMO POLISHED BRASS	19	4626
Brand#35	ECONOMY ANODIZED BRASS	19	4625
Brand#12	STANDARD PLATED COPPER	9	4624
Brand#33	STANDARD BRUSHED TIN	14	4624
Brand#22	ECONOMY BURNISHED STEEL	14	4623
Brand#35	SMALL POLISHED STEEL	14	4623
Brand#11	PROMO PLATED STEEL	36	4622
Brand#11	STANDARD ANODIZED NICKEL	19	4622
Brand#55	SMALL PLATED STEEL	36	4621
Brand#44	ECONOMY POLISHED COPPER	3	4620
Brand#35	STANDARD BURNISHED NICKEL	19	4619
Brand#23	PROMO BRUSHED TIN	49	4617
Brand#24	SMALL BURNISHED TIN	14	4617
Brand#32	ECONOMY ANODIZED BRASS	36	4617
Brand#33	LARGE ANODIZED STEEL	9	4617
Brand#55	PROMO ANODIZED BRASS	45	4617
Brand#32	MEDIUM ANODIZED STEEL	14	4616
Brand#33	ECONOMY POLISHED TIN	3	4616
Brand#35	LARGE ANODIZED NICKEL	49	4616
Brand#53	ECONOMY ANODIZED COPPER	3	4615
Brand#14	ECONOMY PLATED STEEL	14	4614
Brand#24	SMALL ANODIZED TIN	36	4614
Brand#55	SMALL BRUSHED NICKEL	14	4613
Brand#43	STANDARD ANODIZED STEEL	3	4612
Brand#24	ECONOMY ANODIZED STEEL	36	4611
Brand#33	PROMO BRUSHED COPPER	49	4611
Brand#51	PROMO PLATED BRASS	36	4611
Brand#25	ECONOMY BURNISHED STEEL	49	4610
Brand#32	SMALL PLATED STEEL	45	4610
Brand#11	STANDARD ANODIZED COPPER	36	4609
Brand#35	STANDARD PLATED TIN	14	4609
Brand#12	STANDARD ANODIZED TIN	36	4608
Brand#33	STANDARD ANODIZED TIN	9	4608
Brand#53	ECONOMY BURNISHED BRASS	3	4608
Brand#31	ECONOMY POLISHED COPPER	23	4607
Brand#31	LARGE BRUSHED STEEL	36	4607
Brand#34	MEDIUM BRUSHED NICKEL	23	4607
Brand#51	STANDARD ANODIZED TIN	3	4607
Brand#12	SMALL POLISHED COPPER	45	4605
Brand#51	LARGE ANODIZED BRASS	19	4605
Brand#41	ECONOMY POLISHED COPPER	14	4603
Brand#42	LARGE BRUSHED NICKEL	14	4603
Brand#14	LARGE BURNISHED BRASS	9	4602
Brand#15	PROMO ANODIZED TIN	23	4602
Brand#35	LARGE POLISHED TIN	9	4602
Brand#31	PROMO POLISHED NICKEL	36	4601
Brand#42	STANDARD BRUSHED COPPER	3	4601
Brand#14	PROMO ANODIZED NICKEL	9	4600
Brand#32	MEDIUM PLATED COPPER	9	4600
Brand#11	MEDIUM ANODIZED STEEL	45	4599
Brand#55	STANDARD POLISHED STEEL	3	4598
Brand#34	LARGE BURNISHED COPPER	19	4597
Brand#35	ECONOMY POLISHED TIN	3	4597
Brand#51	ECONOMY ANODIZED STEEL	9	4596
Brand#12	MEDIUM ANODIZED TIN	23	4595
Brand#15	SMALL ANODIZED BRASS	19	4595
Brand#25	PROMO ANODIZED TIN	9	4595
Brand#34	SMALL PLATED NICKEL	3	4595
Brand#54	ECONOMY BRUSHED STEEL	19	4595
Brand#43	LARGE ANODIZED NICKEL	14	4594
Brand#51	LARGE PLATED NICKEL	36	4594
Brand#53	PROMO BRUSHED TIN	49	4594
Brand#25	SMALL ANODIZED TIN	3	4593
Brand#25	SMALL POLISHED NICKEL	9	4593
Brand#42	ECONOMY BRUSHED NICKEL	19	4593
Brand#53	ECONOMY BRUSHED NICKEL	9	4593
Brand#15	STANDARD PLATED BRASS	49	4592
Brand#52	PROMO BURNISHED TIN	9	4592
Brand#15	PROMO BRUSHED BRASS	49	4591
Brand#32	LARGE ANODIZED TIN	19	4590
Brand#33	LARGE POLISHED NICKEL	9	4589
Brand#33	PROMO PLATED NICKEL	45	4589
Brand#51	MEDIUM BRUSHED STEEL	3	4589
Brand#12	LARGE POLISHED NICKEL	9	4588
Brand#44	LARGE BURNISHED BRASS	45	4588
Brand#54	PROMO PLATED COPPER	14	4588
Brand#22	LARGE ANODIZED NICKEL	9	4587
Brand#24	MEDIUM PLATED STEEL	14	4587
Brand#32	PROMO BRUSHED STEEL	3	4587
Brand#51	ECONOMY PLATED TIN	19	4587
Brand#43	ECONOMY PLATED COPPER	3	4586
Brand#52	LARGE PLATED COPPER	23	4586
Brand#13	SMALL POLISHED NICKEL	14	4585
Brand#31	MEDIUM BRUSHED BRASS	9	4585
Brand#32	SMALL PLATED STEEL	36	4585
Brand#41	LARGE ANODIZED BRASS	23	4585
Brand#23	MEDIUM ANODIZED BRASS	14	4584
Brand#41	ECONOMY BRUSHED TIN	45	4584
Brand#54	MEDIUM ANODIZED BRASS	45	4584
Brand#11	STANDARD BURNISHED STEEL	23	4583
Brand#24	ECONOMY POLISHED BRASS	23	4583
Brand#24	PROMO ANODIZED STEEL	45	4583
Brand#25	MEDIUM BURNISHED NICKEL	45	4583
Brand#52	STANDARD POLISHED STEEL	3	4583
Brand#54	MEDIUM PLATED COPPER	45	4583
Brand#44	SMALL PLATED STEEL	23	4582
Brand#32	SMALL BURNISHED NICKEL	36	4581
Brand#43	STANDARD POLISHED COPPER	19	4581
Brand#53	SMALL ANODIZED STEEL	19	4581
Brand#43	PROMO ANODIZED NICKEL	49	4580
Brand#11	PROMO BRUSHED TIN	36	4579
Brand#12	ECONOMY POLISHED COPPER	36	4579
Brand#13	STANDARD BRUSHED BRASS	45	4579
Brand#42	LARGE BRUSHED NICKEL	19	4579
Brand#42	STANDARD BURNISHED COPPER	36	4578
Brand#43	SMALL POLISHED STEEL	45	4578
Brand#43	STANDARD POLISHED COPPER	14	4578
Brand#14	SMALL BURNISHED TIN	19	4577
Brand#22	PROMO BURNISHED COPPER	45	4577
Brand#44	LARGE BURNISHED TIN	14	4577
Brand#55	STANDARD PLATED STEEL	49	4577
Brand#15	MEDIUM ANODIZED BRASS	3	4576
Brand#15	PROMO PLATED STEEL	3	4576
Brand#51	PROMO ANODIZED STEEL	14	4576
Brand#21	SMALL BURNISHED COPPER	36	4575
Brand#31	LARGE PLATED TIN	9	4575
Brand#35	STANDARD BRUSHED TIN	14	4575
Brand#15	STANDARD POLISHED COPPER	14	4574
Brand#22	PROMO PLATED BRASS	19	4574
Brand#51	SMALL POLISHED BRASS	49	4574
Brand#52	PROMO POLISHED TIN	3	4574
Brand#55	ECONOMY ANODIZED STEEL	3	4574
Brand#21	ECONOMY BURNISHED BRASS	9	4573
Brand#22	STANDARD PLATED BRASS	49	4572
Brand#23	STANDARD PLATED BRASS	19	4572
Brand#25	SMALL PLATED STEEL	19	4572
Brand#33	LARGE BURNISHED TIN	19	4572
Brand#35	MEDIUM BRUSHED NICKEL	14	4572
Brand#41	LARGE POLISHED NICKEL	23	4572
Brand#44	STANDARD BURNISHED NICKEL	36	4572
Brand#21	STANDARD BURNISHED STEEL	45	4571
Brand#52	PROMO BRUSHED TIN	19	4571
Brand#53	SMALL BRUSHED NICKEL	3	4571
Brand#11	PROMO POLISHED NICKEL	49	4570
Brand#23	MEDIUM PLATED BRASS	19	4570
Brand#54	ECONOMY POLISHED TIN	45	4570
Brand#54	SMALL BRUSHED STEEL	19	4570
Brand#31	LARGE PLATED BRASS	19	4569
Brand#53	MEDIUM BRUSHED BRASS	3	4569
Brand#53	STANDARD PLATED TIN	9	4569
Brand#13	LARGE PLATED TIN	9	4568
Brand#24	PROMO BRUSHED NICKEL	3	4568
Brand#42	LARGE PLATED NICKEL	9	4568
Brand#43	MEDIUM PLATED TIN	49	4568
Brand#12	PROMO ANODIZED TIN	3	4567
Brand#41	ECONOMY PLATED COPPER	45	4567
Brand#54	SMALL PLATED STEEL	36	4567
Brand#25	ECONOMY BRUSHED COPPER	45	4566
Brand#25	LARGE ANODIZED COPPER	19	4566
Brand#42	PROMO BRUSHED TIN	23	4566
Brand#43	MEDIUM PLATED BRASS	14	4566
Brand#55	STANDARD PLATED STEEL	45	4566
Brand#42	SMALL POLISHED BRASS	36	4565
