query,run,phase,status,ms,rows,start_utc
q01,0,cold,pass,3048,4,2026-09-04T22:02:11.209
q01,1,warm,pass,1846,4,2026-09-04T22:02:14.260
q01,2,warm,pass,2824,4,2026-09-04T22:02:16.110
q02,0,cold,pass,1971,100,2026-09-04T22:02:18.940
q02,1,warm,pass,1142,100,2026-09-04T22:02:20.915
q02,2,warm,pass,1140,100,2026-09-04T22:02:22.061
q03,0,cold,pass,3987,10,2026-09-04T22:02:23.207
q03,1,warm,pass,1709,10,2026-09-04T22:02:27.198
q03,2,warm,pass,1750,10,2026-09-04T22:02:28.910
q04,0,cold,pass,1528,5,2026-09-04T22:02:30.667
q04,1,warm,pass,1077,5,2026-09-04T22:02:32.198
q04,2,warm,pass,1055,5,2026-09-04T22:02:33.279
q05,0,cold,fail,1408,0,2026-09-04T22:02:34.340
q06,0,cold,pass,1304,1,2026-09-04T22:02:35.755
q06,1,warm,pass,1209,1,2026-09-04T22:02:37.062
q06,2,warm,pass,1239,1,2026-09-04T22:02:38.275
q07,0,cold,pass,1995,4,2026-09-04T22:02:39.520
q07,1,warm,pass,1966,4,2026-09-04T22:02:41.519
q07,2,warm,pass,1977,4,2026-09-04T22:02:43.488
q08,0,cold,fail,2392,0,2026-09-04T22:02:45.471
q09,0,cold,fail,2115,0,2026-09-04T22:02:47.870
q10,0,cold,pass,1869,20,2026-09-04T22:02:49.993
q10,1,warm,pass,1760,20,2026-09-04T22:02:51.865
q10,2,warm,pass,1811,20,2026-09-04T22:02:53.629
q11,0,cold,pass,759,0,2026-09-04T22:02:55.447
q11,1,warm,pass,668,0,2026-09-04T22:02:56.209
q11,2,warm,pass,670,0,2026-09-04T22:02:56.881
q12,0,cold,pass,1297,2,2026-09-04T22:02:57.557
q12,1,warm,pass,1282,2,2026-09-04T22:02:58.858
q12,2,warm,pass,1298,2,2026-09-04T22:03:00.143
q13,0,cold,pass,1164,30,2026-09-04T22:03:01.448
q13,1,warm,pass,1038,30,2026-09-04T22:03:02.616
q13,2,warm,pass,1032,30,2026-09-04T22:03:03.658
q14,0,cold,pass,1229,1,2026-09-04T22:03:04.696
q14,1,warm,pass,1277,1,2026-09-04T22:03:05.928
q14,2,warm,pass,1239,1,2026-09-04T22:03:07.210
q15,0,cold,pass,2008,1,2026-09-04T22:03:08.455
q15,1,warm,pass,2076,1,2026-09-04T22:03:10.467
q15,2,warm,pass,2070,0,2026-09-04T22:03:12.547
q16,0,cold,pass,739,27840,2026-09-04T22:03:14.624
q16,1,warm,pass,647,27840,2026-09-04T22:03:15.368
q16,2,warm,pass,682,27840,2026-09-04T22:03:16.019
q17,0,cold,fail,1320,0,2026-09-04T22:03:16.708
q18,0,cold,fail,1349,0,2026-09-04T22:03:18.035
q19,0,cold,pass,1557,1,2026-09-04T22:03:19.391
q19,1,warm,pass,1415,1,2026-09-04T22:03:20.952
q19,2,warm,pass,1503,1,2026-09-04T22:03:22.371
q20,0,cold,pass,1777,112013,2026-09-04T22:03:23.880
q20,1,warm,pass,1836,112013,2026-09-04T22:03:25.663
q20,2,warm,pass,1786,112013,2026-09-04T22:03:27.504
q21,0,cold,fail,2103,0,2026-09-04T22:03:29.298
q22,0,cold,pass,903,7,2026-09-04T22:03:31.408
q22,1,warm,pass,845,7,2026-09-04T22:03:32.315
q22,2,warm,pass,859,7,2026-09-04T22:03:33.164
