query  run  phase  status  ms     rows  start_utc
q05    0    cold   pass    18962  5     2026-09-09T12:19:10.770
q05    1    warm   pass    11716  5     2026-09-09T12:19:29.736
q05    2    warm   pass    14285  5     2026-09-09T12:19:41.456
q08    0    cold   pass    17488  2     2026-09-09T12:19:55.747
q08    1    warm   pass    15975  2     2026-09-09T12:20:13.240
q08    2    warm   pass    17678  2     2026-09-09T12:20:29.219
q09    0    cold   pass    43218  175   2026-09-09T12:20:46.904
q09    1    warm   pass    55827  175   2026-09-09T12:21:30.126
q09    2    warm   pass    55470  175   2026-09-09T12:22:25.958
q21    0    cold   pass    21838  100   2026-09-09T12:23:21.436
q21    1    warm   pass    22276  100   2026-09-09T12:23:43.278
q21    2    warm   pass    22487  100   2026-09-09T12:24:05.558
