query,run,phase,status,ms,rows,start_utc
q01,0,cold,pass,3366,4,2026-09-03T13:19:30.264
q01,1,warm,pass,2022,4,2026-09-03T13:19:33.634
q01,2,warm,pass,2298,4,2026-09-03T13:19:35.659
q02,0,cold,pass,2158,100,2026-09-03T13:19:37.965
q02,1,warm,pass,1264,100,2026-09-03T13:19:40.127
q02,2,warm,pass,1044,100,2026-09-03T13:19:41.395
q03,0,cold,pass,2071,10,2026-09-03T13:19:42.446
q03,1,warm,pass,1639,10,2026-09-03T13:19:44.520
q03,2,warm,pass,1575,10,2026-09-03T13:19:46.162
q04,0,cold,pass,2155,5,2026-09-03T13:19:47.744
q04,1,warm,pass,978,5,2026-09-03T13:19:49.903
q04,2,warm,pass,1022,5,2026-09-03T13:19:50.885
q06,0,cold,pass,835,1,2026-09-03T13:19:51.914
q06,1,warm,pass,853,1,2026-09-03T13:19:52.752
q06,2,warm,pass,852,1,2026-09-03T13:19:53.609
q07,0,cold,pass,1984,4,2026-09-03T13:19:54.467
q07,1,warm,pass,2022,4,2026-09-03T13:19:56.455
q07,2,warm,pass,1996,4,2026-09-03T13:19:58.481
q10,0,cold,pass,1803,20,2026-09-03T13:20:00.484
q10,1,warm,pass,1751,20,2026-09-03T13:20:02.291
q10,2,warm,pass,1827,20,2026-09-03T13:20:04.046
q11,0,cold,pass,750,0,2026-09-03T13:20:05.879
q11,1,warm,pass,663,0,2026-09-03T13:20:06.633
q11,2,warm,pass,666,0,2026-09-03T13:20:07.300
q12,0,cold,pass,1199,2,2026-09-03T13:20:07.972
q12,1,warm,pass,1304,2,2026-09-03T13:20:09.175
q12,2,warm,pass,1263,2,2026-09-03T13:20:10.483
q13,0,cold,pass,1132,30,2026-09-03T13:20:11.752
q13,1,warm,pass,1030,30,2026-09-03T13:20:12.888
q13,2,warm,pass,1030,30,2026-09-03T13:20:13.921
q14,0,cold,pass,1243,1,2026-09-03T13:20:14.957
q14,1,warm,pass,1237,1,2026-09-03T13:20:16.204
q14,2,warm,pass,1215,1,2026-09-03T13:20:17.444
q15,0,cold,pass,2080,1,2026-09-03T13:20:18.665
q15,1,warm,pass,2028,0,2026-09-03T13:20:20.749
q15,2,warm,pass,2041,0,2026-09-03T13:20:22.781
q19,0,cold,pass,1478,1,2026-09-03T13:20:24.828
q19,1,warm,pass,1463,1,2026-09-03T13:20:26.309
q19,2,warm,pass,1418,1,2026-09-03T13:20:27.777
q20,0,cold,pass,2009,112013,2026-09-03T13:20:29.201
q20,1,warm,pass,1978,112013,2026-09-03T13:20:31.215
q20,2,warm,pass,2022,112013,2026-09-03T13:20:33.199
q22,0,cold,pass,872,7,2026-09-03T13:20:35.230
q22,1,warm,pass,818,7,2026-09-03T13:20:36.106
q22,2,warm,pass,845,7,2026-09-03T13:20:36.927
