c_name	c_custkey	o_orderkey	o_orderdate	o_totalprice	sum(l_quantity)
Customer#101152111	101152111	1499040929	1998-03-11	602901.81	321
Customer#102538214	102538214	3953307941	1998-05-27	602901.81	321
Customer#107212873	107212873	1538557767	1995-10-20	589263.48	322
Customer#047877014	47877014	5269325251	1992-10-12	586657.82	311
Customer#013476808	13476808	1587924709	1993-12-08	586657.82	311
Customer#023639368	23639368	2815058215	1996-05-15	586657.82	311
Customer#077641073	77641073	360791203	1996-08-24	586657.82	311
Customer#136074337	136074337	5516355846	1995-11-17	586650.13	336
Customer#067835404	67835404	265688738	1993-10-07	586295.93	308
Customer#024921106	24921106	5402410403	1992-02-02	584508.95	330
Customer#100007089	100007089	415729891	1994-07-26	583283.02	314
Customer#030259576	30259576	2869996903	1996-09-10	583283.02	314
Customer#144300041	144300041	4344889121	1995-09-27	582708.25	328
Customer#016933177	16933177	2447829637	1997-08-30	581920.15	333
Customer#054491287	54491287	3674963143	1997-09-11	581920.15	333
Customer#122878553	122878553	1220696131	1998-04-09	581920.15	333
Customer#027994354	27994354	3059824805	1998-01-15	580696.91	312
Customer#110364508	110364508	5820154436	1997-06-18	580547.98	332
Customer#066344690	66344690	5289178852	1994-05-16	580219.55	321
Customer#089156914	89156914	3281699648	1996-09-06	579511.71	310
Customer#011795269	11795269	1809812544	1992-01-14	577631.36	318
Customer#119133178	119133178	2882403394	1994-12-01	576680.71	336
Customer#101782231	101782231	284878243	1997-10-10	575916.57	323
Customer#040659991	40659991	2582628006	1994-08-19	575441.42	314
Customer#037960682	37960682	532893635	1995-06-24	574223.79	301
Customer#108532363	108532363	4400931107	1994-02-27	574100.33	306
Customer#114480628	114480628	806935329	1993-02-18	573772.88	316
Customer#134568274	134568274	3261202341	1997-05-02	573772.88	316
Customer#132153505	132153505	5599221478	1993-01-29	573737.84	306
Customer#078450781	78450781	4884318564	1996-08-16	573624.67	311
Customer#124859951	124859951	3657185058	1997-08-23	573624.67	311
Customer#063651566	63651566	1202918022	1998-07-26	573624.67	311
Customer#057135973	57135973	3634131526	1996-03-09	573612.25	340
Customer#032545192	32545192	1343944801	1992-05-31	572488.63	306
Customer#108596293	108596293	4971659427	1993-06-23	572437.01	321
Customer#006292942	6292942	1290258885	1994-03-12	572437.01	321
Customer#074772199	74772199	63125379	1997-07-20	572437.01	321
Customer#114100846	114100846	3023811459	1998-07-22	571357.62	320
Customer#118578193	118578193	1089608166	1996-07-02	570828.81	304
Customer#115828270	115828270	31587747	1998-06-02	570681.88	308
Customer#006413804	6413804	3242971905	1994-04-07	570492.98	320
Customer#133341095	133341095	788704869	1994-08-16	570492.98	320
Customer#043084931	43084931	5223464708	1992-06-28	570389.68	311
Customer#065659838	65659838	4428624455	1995-10-05	569515.36	302
Customer#102912673	102912673	2837733026	1994-01-02	569434.53	321
Customer#134691712	134691712	1610599520	1997-10-06	569434.53	321
Customer#133785118	133785118	4291381154	1992-06-18	569054.71	316
Customer#112517252	112517252	3924886883	1994-04-27	568933.98	319
Customer#061802131	61802131	2697753377	1995-10-29	568933.98	319
Customer#044241475	44241475	1470619847	1996-09-21	568933.98	319
Customer#113583799	113583799	2902156486	1995-09-21	568854.26	324
Customer#038863337	38863337	1607224230	1994-03-24	568840.67	334
Customer#049365196	49365196	887077156	1994-05-18	567785.5	310
Customer#046048465	46048465	366258304	1996-07-14	567537.51	329
Customer#136054511	136054511	5672866272	1996-10-09	566877.06	313
Customer#057251914	57251914	2432171076	1996-12-07	566568.11	314
Customer#149815216	149815216	2334116806	1994-09-13	566098.85	332
