query,run,phase,status,ms,rows,start_utc
q05,0,cold,pass,5191,5,2026-09-03T13:27:59.393
q05,1,warm,pass,2786,5,2026-09-03T13:28:04.585
q08,0,cold,pass,3835,2,2026-09-03T13:28:07.389
q08,1,warm,pass,3674,2,2026-09-03T13:28:11.224
q09,0,cold,pass,6818,175,2026-09-03T13:28:14.915
q09,1,warm,pass,5427,175,2026-09-03T13:28:21.734
q17,0,cold,pass,4386,1,2026-09-03T13:28:27.174
q17,1,warm,pass,3786,1,2026-09-03T13:28:31.560
q18,0,cold,pass,2764,100,2026-09-03T13:28:35.366
q18,1,warm,pass,2691,100,2026-09-03T13:28:38.130
q21,0,cold,pass,6534,100,2026-09-03T13:28:40.847
q21,1,warm,pass,6401,100,2026-09-03T13:28:47.382
