s_acctbal	s_name	n_name	p_partkey	p_mfgr	s_address	s_phone	s_comment
9999.98	Supplier#009603132	FRANCE	124603107	Manufacturer#5	sWwhImcmui18	16-772-274-7879	se idly across the furiously regular requests. special foxes nag. quickly fluffy 
9999.98	Supplier#009603132	FRANCE	192103074	Manufacturer#3	sWwhImcmui18	16-772-274-7879	se idly across the furiously regular requests. special foxes nag. quickly fluffy 
9999.98	Supplier#005781756	RUSSIA	90781737	Manufacturer#1	mWkaVs2HYIMuMSyOm3z MNm6M	32-318-428-3941	ounts haggle slyly about the quickly expr
9999.97	Supplier#009095529	GERMANY	6595528	Manufacturer#2	5CCKmqY5bOys0aBIK3	17-888-873-6604	tions. patterns nag busily before the furiously regular deposits. furiously stealthy theodo
9999.95	Supplier#009454986	UNITED KINGDOM	44454977	Manufacturer#1	yMUWlr1Y0Ba ,o4w0Hs,5fQD64M6Pcs	33-670-600-8336	s sleep carefully. carefully special ideas sleep finally. carefully final package
9999.94	Supplier#007002457	UNITED KINGDOM	2002456	Manufacturer#4	ptKLkfPb,b8xZS	33-428-252-8611	ts. blithely silent instru
9999.93	Supplier#003555760	UNITED KINGDOM	141055745	Manufacturer#4	XL4IKQScZAV9oBMwYehlR6SKw	33-386-139-8264	oze quickly quietly final depos
9999.92	Supplier#009439317	GERMANY	34439310	Manufacturer#3	,p4Ta7,,caBliSr	17-371-937-7458	play; ironic packages against the requests wake along the escap
9999.92	Supplier#009439317	GERMANY	124439292	Manufacturer#4	,p4Ta7,,caBliSr	17-371-937-7458	play; ironic packages against the requests wake along the escap
9999.92	Supplier#009439317	GERMANY	126939304	Manufacturer#5	,p4Ta7,,caBliSr	17-371-937-7458	play; ironic packages against the requests wake along the escap
9999.82	Supplier#000453991	GERMANY	85453974	Manufacturer#4	cibSsW1iPtQB	17-974-935-7337	eodolites cajole slyly busy ideas
9999.82	Supplier#001323832	GERMANY	33823822	Manufacturer#1	j5GPhzuTtvi	17-448-574-1404	 the ironic, furious accounts. foxes haggle alongside of the slyly iro
9999.82	Supplier#001323832	GERMANY	181323831	Manufacturer#5	j5GPhzuTtvi	17-448-574-1404	 the ironic, furious accounts. foxes haggle alongside of the slyly iro
9999.77	Supplier#002254341	GERMANY	4754340	Manufacturer#3	s1galT4BQR2T7yPpV82IlktNcKI3Mm3Yt6I	17-391-701-5367	uctions. blithely special requests lose slyly. quickly ironic theodolites use furiously. courts m
