query,run,phase,status,ms,rows,start_utc
q01,0,cold,pass,5909,4,2026-09-03T13:20:49.324
q01,1,warm,pass,4858,4,2026-09-03T13:20:55.234
q01,2,warm,pass,4906,4,2026-09-03T13:21:00.092
q02,0,cold,pass,816,100,2026-09-03T13:21:05.014
q02,1,warm,pass,568,100,2026-09-03T13:21:05.830
q02,2,warm,pass,574,100,2026-09-03T13:21:06.398
q03,0,cold,pass,2809,10,2026-09-03T13:21:06.987
q03,1,warm,pass,2479,10,2026-09-03T13:21:09.796
q03,2,warm,pass,3622,10,2026-09-03T13:21:12.276
q04,0,cold,pass,1775,5,2026-09-03T13:21:15.908
q04,1,warm,pass,2113,5,2026-09-03T13:21:17.684
q04,2,warm,pass,1678,5,2026-09-03T13:21:19.797
q06,0,cold,pass,1960,1,2026-09-03T13:21:21.484
q06,1,warm,pass,2020,1,2026-09-03T13:21:23.444
q06,2,warm,pass,1928,1,2026-09-03T13:21:25.465
q07,0,cold,pass,3383,4,2026-09-03T13:21:27.408
q07,1,warm,pass,3245,4,2026-09-03T13:21:30.792
q07,2,warm,pass,3287,4,2026-09-03T13:21:34.037
q10,0,cold,pass,3080,20,2026-09-03T13:21:37.337
q10,1,warm,pass,3052,20,2026-09-03T13:21:40.417
q10,2,warm,pass,3107,20,2026-09-03T13:21:43.470
q11,0,cold,pass,352,0,2026-09-03T13:21:46.585
q11,1,warm,pass,333,0,2026-09-03T13:21:46.937
q11,2,warm,pass,340,0,2026-09-03T13:21:47.271
q12,0,cold,pass,2154,2,2026-09-03T13:21:47.620
q12,1,warm,pass,2212,2,2026-09-03T13:21:49.775
q12,2,warm,pass,2253,2,2026-09-03T13:21:51.987
q13,0,cold,pass,1816,30,2026-09-03T13:21:54.248
q13,1,warm,pass,1825,30,2026-09-03T13:21:56.064
q13,2,warm,pass,1814,30,2026-09-03T13:21:57.890
q14,0,cold,pass,2790,1,2026-09-03T13:21:59.714
q14,1,warm,pass,2673,1,2026-09-03T13:22:02.504
q14,2,warm,pass,2784,1,2026-09-03T13:22:05.178
q15,0,cold,pass,2651,1,2026-09-03T13:22:07.970
q15,1,warm,pass,2624,1,2026-09-03T13:22:10.622
q15,2,warm,pass,2630,1,2026-09-03T13:22:13.246
q19,0,cold,pass,3081,1,2026-09-03T13:22:15.887
q19,1,warm,pass,3252,1,2026-09-03T13:22:18.969
q19,2,warm,pass,3119,1,2026-09-03T13:22:22.221
q20,0,cold,pass,2950,112013,2026-09-03T13:22:25.354
q20,1,warm,pass,3022,112013,2026-09-03T13:22:28.374
q20,2,warm,pass,3024,112013,2026-09-03T13:22:31.479
q22,0,cold,pass,498,7,2026-09-03T13:22:34.589
q22,1,warm,pass,496,7,2026-09-03T13:22:35.090
q22,2,warm,pass,495,7,2026-09-03T13:22:35.586
