query,run,phase,status,ms,rows,start_utc
q01,0,cold,pass,5603,4,2026-09-08T21:01:07.947
q01,1,warm,pass,6313,4,2026-09-08T21:01:13.554
q01,2,warm,pass,6482,4,2026-09-08T21:01:19.871
q02,0,cold,pass,1672,100,2026-09-08T21:01:26.359
q02,1,warm,pass,1381,100,2026-09-08T21:01:28.036
q02,2,warm,pass,1383,100,2026-09-08T21:01:29.420
q03,0,cold,pass,6276,10,2026-09-08T21:01:30.809
q03,1,warm,pass,6398,10,2026-09-08T21:01:37.090
q03,2,warm,pass,6529,10,2026-09-08T21:01:43.492
q04,0,cold,pass,4050,5,2026-09-08T21:01:50.026
q04,1,warm,pass,3608,5,2026-09-08T21:01:54.080
q04,2,warm,pass,3736,5,2026-09-08T21:01:57.692
q05,0,cold,fail,22226,0,2026-09-08T21:02:01.434
q06,0,cold,pass,4561,1,2026-09-08T21:02:32.676
q06,1,warm,pass,5596,1,2026-09-08T21:02:37.241
q06,2,warm,pass,5603,1,2026-09-08T21:02:42.841
q07,0,cold,pass,9425,4,2026-09-08T21:02:48.450
q07,1,warm,pass,8988,4,2026-09-08T21:02:57.879
q07,2,warm,pass,9289,4,2026-09-08T21:03:06.871
q08,0,cold,fail,9329,0,2026-09-08T21:03:16.165
q09,0,cold,fail,5912,0,2026-09-08T21:03:33.491
q10,0,cold,pass,6435,20,2026-09-08T21:03:47.399
q10,1,warm,pass,6990,20,2026-09-08T21:03:53.838
q10,2,warm,pass,7033,20,2026-09-08T21:04:00.832
q11,0,cold,pass,1448,467405,2026-09-08T21:04:07.871
q11,1,warm,pass,1474,467405,2026-09-08T21:04:09.324
q11,2,warm,pass,1527,467405,2026-09-08T21:04:10.803
q12,0,cold,pass,5026,2,2026-09-08T21:04:12.337
q12,1,warm,pass,5115,2,2026-09-08T21:04:17.367
q12,2,warm,pass,5117,2,2026-09-08T21:04:22.486
q13,0,cold,pass,5961,40,2026-09-08T21:04:27.609
q13,1,warm,pass,5251,40,2026-09-08T21:04:33.574
q13,2,warm,pass,5301,40,2026-09-08T21:04:38.828
q14,0,cold,pass,7603,1,2026-09-08T21:04:44.135
q14,1,warm,pass,8328,1,2026-09-08T21:04:51.742
q14,2,warm,pass,8346,1,2026-09-08T21:05:00.073
q15,0,cold,pass,15578,1,2026-09-08T21:05:08.425
q15,1,warm,pass,15603,1,2026-09-08T21:05:24.008
q15,2,warm,pass,15594,1,2026-09-08T21:05:39.616
q16,0,cold,pass,742,27840,2026-09-08T21:05:55.216
q16,1,warm,pass,722,27840,2026-09-08T21:05:55.962
q16,2,warm,pass,696,27840,2026-09-08T21:05:56.689
q17,0,cold,fail,9938,0,2026-09-08T21:05:57.391
q18,0,cold,fail,3519,0,2026-09-08T21:06:16.383
q19,0,cold,pass,7729,1,2026-09-08T21:06:28.979
q19,1,warm,pass,8227,1,2026-09-08T21:06:36.712
q19,2,warm,pass,8248,1,2026-09-08T21:06:44.943
q20,0,cold,pass,9738,72343,2026-09-08T21:06:53.197
q20,1,warm,pass,9338,72343,2026-09-08T21:07:02.939
q20,2,warm,pass,9406,72343,2026-09-08T21:07:12.281
q21,0,cold,fail,9276,0,2026-09-08T21:07:21.694
q22,0,cold,pass,1970,7,2026-09-08T21:07:40.029
q22,1,warm,pass,1721,7,2026-09-08T21:07:42.004
q22,2,warm,pass,1699,7,2026-09-08T21:07:43.729
