query,run,phase,status,ms,rows,start_utc
q01,0,cold,pass,5506,4,2026-09-09T01:41:20.719
q01,1,warm,pass,6458,4,2026-09-09T01:41:26.229
q01,2,warm,pass,6464,4,2026-09-09T01:41:32.691
q02,0,cold,pass,1685,100,2026-09-09T01:41:39.161
q02,1,warm,pass,1517,100,2026-09-09T01:41:40.850
q02,2,warm,pass,1482,100,2026-09-09T01:41:42.371
q03,0,cold,pass,5948,10,2026-09-09T01:41:43.859
q03,1,warm,pass,6415,10,2026-09-09T01:41:49.811
q03,2,warm,pass,6531,10,2026-09-09T01:41:56.230
q04,0,cold,pass,4025,5,2026-09-09T01:42:02.767
q04,1,warm,pass,3638,5,2026-09-09T01:42:06.796
q04,2,warm,pass,3646,5,2026-09-09T01:42:10.438
q05,0,cold,fail,22328,0,2026-09-09T01:42:14.090
q06,0,cold,pass,4566,1,2026-09-09T01:42:46.546
q06,1,warm,pass,5600,1,2026-09-09T01:42:51.116
q06,2,warm,pass,5599,1,2026-09-09T01:42:56.720
q07,0,cold,pass,9508,4,2026-09-09T01:43:02.325
q07,1,warm,pass,9007,4,2026-09-09T01:43:11.838
q07,2,warm,pass,9169,4,2026-09-09T01:43:20.849
q08,0,cold,fail,9344,0,2026-09-09T01:43:30.024
q09,0,cold,fail,5908,0,2026-09-09T01:43:47.406
q10,0,cold,pass,6416,20,2026-09-09T01:44:01.309
q10,1,warm,pass,6949,20,2026-09-09T01:44:07.729
q10,2,warm,pass,7023,20,2026-09-09T01:44:14.682
q11,0,cold,pass,1494,467405,2026-09-09T01:44:21.712
q11,1,warm,pass,1495,467405,2026-09-09T01:44:23.210
q11,2,warm,pass,1530,467405,2026-09-09T01:44:24.710
q12,0,cold,pass,5011,2,2026-09-09T01:44:26.248
q12,1,warm,pass,5126,2,2026-09-09T01:44:31.263
q12,2,warm,pass,5121,2,2026-09-09T01:44:36.393
q13,0,cold,pass,5892,40,2026-09-09T01:44:41.520
q13,1,warm,pass,5307,40,2026-09-09T01:44:47.416
q13,2,warm,pass,5323,40,2026-09-09T01:44:52.727
q14,0,cold,pass,7602,1,2026-09-09T01:44:58.056
q14,1,warm,pass,8327,1,2026-09-09T01:45:05.663
q14,2,warm,pass,8339,1,2026-09-09T01:45:13.995
q15,0,cold,pass,15604,1,2026-09-09T01:45:22.339
q15,1,warm,pass,15594,1,2026-09-09T01:45:37.948
q15,2,warm,pass,15599,1,2026-09-09T01:45:53.546
q16,0,cold,pass,739,27840,2026-09-09T01:46:09.152
q16,1,warm,pass,694,27840,2026-09-09T01:46:09.895
q16,2,warm,pass,717,27840,2026-09-09T01:46:10.594
q17,0,cold,fail,10294,0,2026-09-09T01:46:11.317
q18,0,cold,fail,3673,0,2026-09-09T01:46:30.663
q19,0,cold,pass,7742,1,2026-09-09T01:46:42.361
q19,1,warm,pass,8216,1,2026-09-09T01:46:50.107
q19,2,warm,pass,8258,1,2026-09-09T01:46:58.327
q20,0,cold,pass,9761,72343,2026-09-09T01:47:06.590
q20,1,warm,pass,9338,72343,2026-09-09T01:47:16.356
q20,2,warm,pass,9369,72343,2026-09-09T01:47:25.698
q21,0,cold,fail,9280,0,2026-09-09T01:47:35.074
q22,0,cold,pass,1914,7,2026-09-09T01:47:53.457
q22,1,warm,pass,1693,7,2026-09-09T01:47:55.375
q22,2,warm,pass,1647,7,2026-09-09T01:47:57.073
