s_acctbal	s_name	n_name	p_partkey	p_mfgr	s_address	s_phone	s_comment
9999.77	Supplier#002254341	GERMANY	4754340	Manufacturer#3	s1galT4BQR2T7yPpV82IlktNcKI3Mm3Yt6I	17-391-701-5367	uctions. blithely special requests lose slyly. quickly ironic theodolites use furiously. courts m
9999.77	Supplier#002254341	GERMANY	99754302	Manufacturer#2	s1galT4BQR2T7yPpV82IlktNcKI3Mm3Yt6I	17-391-701-5367	uctions. blithely special requests lose slyly. quickly ironic theodolites use furiously. courts m
9999.75	Supplier#001017723	FRANCE	77267677	Manufacturer#2	yo3WkmLtQvrv1phRbxm2	16-717-704-2066	ven instructions wake along the ca
9999.69	Supplier#002064946	GERMANY	18314936	Manufacturer#1	hIrE0p9aG0l2BQ5buEnY1iLbd4p7P9ZR21	17-416-324-9420	. final theodolites kindle at the regular packages. carefully even theodolites cajole a
9999.69	Supplier#002064946	GERMANY	23314933	Manufacturer#3	hIrE0p9aG0l2BQ5buEnY1iLbd4p7P9ZR21	17-416-324-9420	. final theodolites kindle at the regular packages. carefully even theodolites cajole a
9999.65	Supplier#000143654	FRANCE	95143653	Manufacturer#3	HhHCZ,RosE8He4uYvyIDqsPZe,7cZiJh1y9,	16-166-504-5864	 special accounts. never dogged deposits
9999.64	Supplier#002094356	ROMANIA	59594333	Manufacturer#3	uYwxXS6Hm5VpUo90	29-581-506-9539	ickly pending instructions. quickly final ideas alongside of the slyly regular pinto bea
9999.64	Supplier#002094356	ROMANIA	99594317	Manufacturer#2	uYwxXS6Hm5VpUo90	29-581-506-9539	ickly pending instructions. quickly final ideas alongside of the slyly regular pinto bea
9999.57	Supplier#001558979	RUSSIA	24058970	Manufacturer#2	8wWw3NoKEXCGkrQNQ5kqScG9iauVKFdA	32-376-710-4582	t dependencies along the blithely even accounts haggle quickly final asymp
9999.54	Supplier#003600689	ROMANIA	71100660	Manufacturer#3	SbU9wcno86BpKQ2HcDNJdgp	29-322-216-9121	refully bold dolphins boost slyly deposits. excuses haggle about the theodolite
9999.5	Supplier#003845680	GERMANY	72595665	Manufacturer#3	O0EttfafYis95of0MIKXlLurmx5 EaF	17-180-100-3823	ructions. blithely even dolphins alongside of the ruthlessly pending theodoli
9999.42	Supplier#003803317	RUSSIA	11303312	Manufacturer#1	LEN6aHdLvYoloJt	32-855-460-3796	sual packages detect. blithely ironic pinto 
9999.39	Supplier#003505135	ROMANIA	9755131	Manufacturer#1	rxDV7p6vCR,W6oWVjN5T8k9vS7H17kf8Ac10	29-137-257-2212	 ironic deposits use after the regular excuses. stealthily final accounts cajole furiously
9999.36	Supplier#002937179	FRANCE	91687160	Manufacturer#3	5kN8ohrQkGYyaqHHlu	16-525-981-5086	e. slylyCustomer asComplaintscro
9999.23	Supplier#001069808	GERMANY	89819790	Manufacturer#4	naizPy6uRtG44rb29zaLKboi	17-936-784-9783	 requests wake. slyly final i
9999.22	Supplier#004607212	GERMANY	9607211	Manufacturer#5	7HOXKm14F9W8W5575yImhp	17-347-880-8978	sits alongside of the blithely regular pinto beans
9999.21	Supplier#001689589	RUSSIA	34189576	Manufacturer#5	5WtKzNw2r63MFLBLjOJRXb5 X	32-731-351-5795	y special instructions around
9999.04	Supplier#003986476	ROMANIA	13986475	Manufacturer#5	z,kk1sXSk1cps	29-213-276-7036	ly quickly express packages. regular, ironic foxes alongside of the blithely special theodolites
9999.03	Supplier#004407048	GERMANY	96907009	Manufacturer#5	a8PbeVj8B0ZuvgtdxVWlD6 4Em	17-260-111-4387	 special tithes. furiously ironic excuses mold carefully slyly u
9999.03	Supplier#003983005	RUSSIA	26482994	Manufacturer#5	K0sioTx1VhhnzCsuAKSmVknM83qM rOWGFlfS	32-305-675-3176	y regular forges nag carefully. special, even pinto beans are alo
9999	Supplier#004713637	UNITED KINGDOM	37213622	Manufacturer#2	G9R4OHwADYZY	33-645-262-7067	lar deposits thrash about the carefully ironic ideas. bold requests ha
9998.98	Supplier#001266482	RUSSIA	51266481	Manufacturer#5	RTbK,oHXq0cgCT H7bcfHfeX5qMQ0aNLY	32-583-820-1183	final, bold ideas use. furiously expres
9998.93	Supplier#002807981	RUSSIA	32807980	Manufacturer#5	fdU4hTY0bsDOS	32-938-325-4297	p blithely after the carefully unusual requests. even excuses
9998.93	Supplier#002807981	RUSSIA	90307944	Manufacturer#1	fdU4hTY0bsDOS	32-938-325-4297	p blithely after the carefully unusual requests. even excuses
9998.88	Supplier#002811198	ROMANIA	12811197	Manufacturer#1	xUMU,W8SuuUQ4yVeYxAaYUhT5	29-914-317-8049	ounts integrate blithely. ideas haggle furiously. furiously final requests sleep blith
9998.88	Supplier#004031247	UNITED KINGDOM	30281228	Manufacturer#3	DE7uWNV1Gyk N4iGu	33-590-940-1556	ously silent instructions use! carefully 
9998.87	Supplier#003067078	FRANCE	45567059	Manufacturer#3	 UP4JbTSvQSSYa5QjmZ276Kk3voErV	16-936-696-2890	luffily pending dependencies? furiously thin pinto beans are across the carefully sil
9998.77	Supplier#001583206	GERMANY	16583205	Manufacturer#4	etfQBBg,ICm	17-338-279-6817	egular theodolites. fluffily silent deposits are. even packages affix about the req
9998.76	Supplier#003713409	UNITED KINGDOM	47463399	Manufacturer#2	VERRH5nRaUKg 9g	33-625-678-3877	 packages cajole slyly along the gifts? boldly ironic p
9998.75	Supplier#001861869	ROMANIA	19361862	Manufacturer#5	utwZb 6pZbVE6NIGl M0wdQYo8WD	29-995-350-6059	egular pinto beans sublate carefully regular, even dependenc
9998.63	Supplier#002258047	RUSSIA	97258046	Manufacturer#1	E9QWWFAR2tAIndoWY0ev	32-535-778-2977	 theodolites. ironic, special packages affix blithely around the slyl
9998.62	Supplier#004742780	RUSSIA	77242749	Manufacturer#1	Rx25JR33rI	32-662-869-5826	 blithely alongside of the quic
9998.56	Supplier#000039514	UNITED KINGDOM	76289468	Manufacturer#5	fUN95rpikfiqeGo,okl,27ItSq9fMpr	33-317-828-7758	olites use about the blithely regular warhorses. carefully final instructions a
9998.49	Supplier#002968876	RUSSIA	45468857	Manufacturer#1	ZExoR45kJy5uVqLNfJLGYEM08kv	32-932-474-5436	ncies. final theodolites wake. slyly ironic id
9998.45	Supplier#002021905	FRANCE	60771892	Manufacturer#3	HA IWJUyzXGkxyq3oTsv4UMopWRXlV3MTwqWY	16-830-364-7645	ress deposits boost quickly slyly even foxes. carefully unusual dependen
9998.36	Supplier#002377577	GERMANY	59877554	Manufacturer#3	tah3HtpdgekAjJ2vEEoeOy9xG4lg	17-775-989-8002	es. bold warthogs snooze furiously slyly r
9998.36	Supplier#002377577	GERMANY	89877542	Manufacturer#1	tah3HtpdgekAjJ2vEEoeOy9xG4lg	17-775-989-8002	es. bold warthogs snooze furiously slyly r
9998.23	Supplier#001214486	FRANCE	48714467	Manufacturer#4	eFB9XlSm7ZXCr5ZmRip4QdU eBLqIVk0feInqo	16-114-118-2233	s? carefully ironic requests nag slyly even theodolites. brave, regular theodolites ha
9998.21	Supplier#002741147	RUSSIA	56491135	Manufacturer#1	Yk1B2UtxBepZJuBUy12h53JzFMBChamsMSoQ	32-168-169-1949	ly carefully final accounts. ideas promise blithely. carefully even do
9998.16	Supplier#003448343	GERMANY	4698342	Manufacturer#4	cm42mVfr3U6VIDNgyNKysoY,O	17-745-262-8279	ckly special deposits. even, express pinto beans print carefully requests. slyly final
9998.11	Supplier#004027328	ROMANIA	42777319	Manufacturer#1	rwq 4yoRHRmNx	29-572-381-1505	ously blithely regular accounts. carefully even platelets nag slyly. bold, special requests nag c
9998.09	Supplier#004081478	FRANCE	12831475	Manufacturer#5	9fFnNyDIkzBVGrkuP ENVme445	16-649-104-1816	 ironic, ironic escapades may detect theodolites. slyly final accounts detect 
9998.07	Supplier#004656105	ROMANIA	33406098	Manufacturer#1	q04QQ,m6K1FVWJSm	29-732-450-1583	above the carefully final accounts. quickly final asymptotes
9997.9	Supplier#003224235	RUSSIA	1974234	Manufacturer#5	O5ChbC vLYTQ4O9D	32-354-628-1020	quickly express theodolites. quickly regular theodolites was quickly among the regular d
9997.89	Supplier#001183224	FRANCE	83683191	Manufacturer#1	484kxvjw7siDrPRR	16-275-518-9899	sly bold foxes. ideas haggle furiously. blithely unusual deposits wake a
9997.88	Supplier#004674074	UNITED KINGDOM	33424067	Manufacturer#4	vdS5iqBNA1PQ1bGFXngtkNT0SMf 0aO	33-872-938-9853	lyly ironic instructions are. 
9997.82	Supplier#002252880	ROMANIA	98502822	Manufacturer#2	XWDIoFQgpU3rVkpwxjV2TpZstYRU	29-839-604-2322	gle on the packages. blit
9997.82	Supplier#001156787	UNITED KINGDOM	61156786	Manufacturer#2	Xp1osbf,oDhxD6VhGSVzL32OTvzBxx4wIj,2UZhh	33-635-461-5523	 the furiously bold foxes. furiously unusual foxes cajo
9997.7	Supplier#004251355	ROMANIA	71751326	Manufacturer#5	RuMoMDloFw6WltpiieDD25y,q01	29-448-997-8559	y regular requests. slyly bold dep
9997.69	Supplier#004895666	UNITED KINGDOM	44895665	Manufacturer#1	a1588uRLt1,	33-859-641-4216	. carefully ironic ideas ca
9997.67	Supplier#003351598	UNITED KINGDOM	14601591	Manufacturer#5	ge9Vl6NUbo,OgOtXr0419A	33-416-479-5861	ts play. carefully regular foxes are furiously blithely regul
9997.67	Supplier#003351598	UNITED KINGDOM	55851575	Manufacturer#1	ge9Vl6NUbo,OgOtXr0419A	33-416-479-5861	ts play. carefully regular foxes are furiously blithely regul
9997.64	Supplier#001275749	ROMANIA	22525736	Manufacturer#5	Xz2wg80F0e1b3meLd0r0xNm	29-410-181-3937	packages haggle fluffily. unusual de
9997.49	Supplier#002424901	RUSSIA	24924892	Manufacturer#2	n8YOpoZqVqf1K1 MgHy3yPylbotdG61krrYm	32-959-249-1660	y regular accounts. bold, iro
9997.41	Supplier#001426871	GERMANY	15176867	Manufacturer#3	Bx9Ojb hat	17-185-320-7079	 accounts. furiously pending accounts hinder fluffily accounts. qui
9997.41	Supplier#001426871	GERMANY	50176860	Manufacturer#1	Bx9Ojb hat	17-185-320-7079	 accounts. furiously pending accounts hinder fluffily accounts. qui
9997.37	Supplier#003572071	FRANCE	51072050	Manufacturer#5	,03GsCkP HWAf	16-937-947-8526	tions are. blithely bold deposits eat furiously alo
9997.34	Supplier#001422741	UNITED KINGDOM	82672692	Manufacturer#5	ZYq3mKe6vsvc4tFp	33-173-439-3328	efully final packages after the furiously
9997.28	Supplier#003567980	FRANCE	84817931	Manufacturer#2	0LV,PsUitYzvCd	16-941-216-3361	hes sleep blithely slyly even requests. slyly regular deposits alongside
9997.2	Supplier#000487664	FRANCE	97987625	Manufacturer#4	 ShFSQYlV,8EvuNQkB7B	16-714-518-5435	mong the ideas. accounts poach p
9997.16	Supplier#004810836	RUSSIA	14810835	Manufacturer#2	F9944EU4,rOLUvhH1XU	32-519-909-6756	lar, unusual excuses: quickly regul
9997.14	Supplier#004732480	FRANCE	19732479	Manufacturer#3	sOiV8L9Zv4TuJVCJiI4	16-445-212-7945	en packages. ironic, bold pinto beans haggle. slyly regula
9997.1	Supplier#002475855	ROMANIA	24975846	Manufacturer#5	iPgNf40guo3	29-300-516-6809	riously even packages are. pending packages hang caref
9997.09	Supplier#002938160	UNITED KINGDOM	66688146	Manufacturer#3	6CkodwIycJ,9qKvVULYqoyQQhDFiZgVdRnmEx	33-715-982-9794	s about the regular ideas cajole furiously alongside of the pending instructions. final, 
9997.06	Supplier#003322138	FRANCE	40822121	Manufacturer#3	sgdjRblnZIrjRw	16-285-572-8595	ate furiously quiet accounts. furiously even
9997	Supplier#002999310	GERMANY	62999309	Manufacturer#1	hbALhwZKNHOq3l3C	17-703-414-7347	thely ironic foxes. slyly 
9996.96	Supplier#004362709	UNITED KINGDOM	612708	Manufacturer#5	u1cKZpCjZpe8chUK628hbYNwkvVsALh32cW	33-766-874-1316	eas against the final reques
9996.92	Supplier#002876335	GERMANY	40376318	Manufacturer#4	5dtUEIJk KJ9P,GIyxo3MnsgtiVxa9usefHL	17-650-542-3190	 blithely. carefully regular gifts along the quick accounts haggle above the blithely 
9996.88	Supplier#000702858	RUSSIA	34452851	Manufacturer#3	skGy,844uGMBmYz2hrW42GjQhxW716Ss	32-802-745-6965	ronic packages. regular, fina
9996.68	Supplier#003307853	UNITED KINGDOM	65807826	Manufacturer#5	tjR592PHSu	33-325-210-1082	posits. fluffily regular ideas boos
