nation	o_year	sum_profit
ALGERIA	1998	13628506504.29
ALGERIA	1997	23334946077.9854
ALGERIA	1996	23377475835.5347
ALGERIA	1995	23266624868.4932
ALGERIA	1994	23279575122.2919
ALGERIA	1993	23300002950.7232
ALGERIA	1992	23402726850.4637
ARGENTINA	1998	13656984381.8935
ARGENTINA	1997	23293602601.2185
ARGENTINA	1996	23322688839.9051
ARGENTINA	1995	23314285921.1349
ARGENTINA	1994	23297580608.2466
ARGENTINA	1993	23300400804.2257
ARGENTINA	1992	23365378043.2481
BRAZIL	1998	13763825877.8978
BRAZIL	1997	23365365080.0591
BRAZIL	1996	23490662349.4949
BRAZIL	1995	23452752972.9411
BRAZIL	1994	23364953816.7281
BRAZIL	1993	23435052513.3702
BRAZIL	1992	23457577066.7801
CANADA	1998	13760623430.0778
CANADA	1997	23485065989.8262
CANADA	1996	23520802354.0986
CANADA	1995	23469026912.4954
CANADA	1994	23445187173.9099
CANADA	1993	23510840448.1906
CANADA	1992	23477893924.9175
CHINA	1998	13681928668.2862
CHINA	1997	23321052993.3566
CHINA	1996	23336582802.0911
CHINA	1995	23281280130.3631
CHINA	1994	23320333071.3146
CHINA	1993	23265341864.1022
CHINA	1992	23346204481.6254
EGYPT	1998	13761559394.289
EGYPT	1997	23493246131.5493
EGYPT	1996	23546159101.8394
EGYPT	1995	23496977430.9733
EGYPT	1994	23474775378.2736
EGYPT	1993	23476548475.5827
EGYPT	1992	23532206278.2753
ETHIOPIA	1998	13723294074.569
ETHIOPIA	1997	23431347698.4101
ETHIOPIA	1996	23485487163.5339
ETHIOPIA	1995	23388493064.4955
ETHIOPIA	1994	23407257734.628
ETHIOPIA	1993	23392184254.9568
ETHIOPIA	1992	23440095703.1901
FRANCE	1998	13680276157.4465
FRANCE	1997	23313824339.4076
FRANCE	1996	23435614170.7918
FRANCE	1995	23348171023.757
FRANCE	1994	23366357890.8265
FRANCE	1993	23333837867.9486
FRANCE	1992	23314533518.7102
GERMANY	1998	13637109944.0173
GERMANY	1997	23277235279.5326
GERMANY	1996	23364172619.975
GERMANY	1995	23318284369.1415
GERMANY	1994	23296687944.2096
GERMANY	1993	23276619983.0025
GERMANY	1992	23333328209.9449
INDIA	1998	13656259216.3284
INDIA	1997	23298632310.7885
INDIA	1996	23388276208.6909
INDIA	1995	23274539021.1754
INDIA	1994	23275043867.888
INDIA	1993	23261414677.3847
INDIA	1992	23301163519.393
