ps_partkey	value
71988503	26020540.58
82018530	24347419.93
49018712	24207871.62
86181845	23573498.08
25516195	23419658.72
32144722	23247418.4
61053721	23119568.64
32795277	22777467.6
65919787	22707438.66
36319637	22513549.35
44514275	22395275.24
53742806	22246984.65
49096691	22163085.28
97862376	22145376.81
25324875	21937553.51
47614156	21804573.37
50378548	21799648.82
58033563	21478591.14
17574519	21455914.94
42982795	21450667.1
90975703	21447475.44
75982079	21429713.47
61645105	21250251.95
63483932	21221098.32
95636990	21208696.7
75100257	21138987.83
47950947	21134753.75
17488413	20984755.85
26192325	20935890.87
37592347	20866876.27
31548243	20856021.18
95017608	20839905.68
511553	20780520.6
68827303	20760242.16
34106279	20744751.82
49782326	20664811.48
97339385	20662930.15
62508762	20660558.12
43492039	20626577.6
12355303	20514715.36
36029042	20491532.35
89035730	20490212.21
86544880	20363204.92
29772340	20359570.45
64178520	20357664.79
55037662	20324188.22
65517898	20268149.13
781443	20245438.32
96249622	20230367.87
50001117	20179173.35
43956557	20140745.41
62062287	20123804.79
59601314	20071035.2
84364192	19966727.52
18989711	19934660.07
43765937	19915184.6
19372121	19891201.05
97920765	19886738.55
14572019	19852612.34
70811662	19784231.43
39952297	19778787.41
4771336	19775217.74
91710853	19733553.48
703177	19732695.54
72532688	19721245.06
23800301	19677471.55
44891021	19647091.56
74584053	19623118.1
92779808	19594161.87
25075306	19583545.29
69652982	19547274.16
64490998	19546652.2
98388681	19513267.86
81045722	19510765.2
12072769	19500995.14
90734615	19480522.88
19595166	19454444.31
15899553	19442050.46
30539011	19440416.36
87214966	19432128.62
57489954	19423842.62
6722115	19417792.53
4767838	19397779.48
40247120	19390809.63
76381784	19377924.09
19234098	19376689.82
41066106	19308294.4
27892973	19274553.12
87511917	19273379.5
38055458	19264652.84
70632282	19247155.2
15511439	19238409.28
19029042	19234622.36
22727314	19211331
36591541	19207386.39
3373093	19182501.7
96271030	19180480.86
46921537	19167214.5
65093992	19166781.24
778492	19162410.62
43070959	19156155.51
11816293	19124564.33
85708888	19123592.43
43952205	19114437.45
49990821	19087468.77
97223910	19070718.05
15156035	19049976.83
343662	19024081.9
59699596	18981884.1
81565237	18981563.62
27190018	18981298.47
6090083	18966826.25
