p_brand	p_type	p_size	supplier_cnt
Brand#32	LARGE BURNISHED TIN	49	2498
Brand#13	LARGE BRUSHED BRASS	9	2486
Brand#34	ECONOMY BURNISHED STEEL	23	2481
Brand#12	SMALL POLISHED COPPER	45	2479
Brand#14	PROMO ANODIZED NICKEL	9	2473
Brand#31	LARGE BRUSHED STEEL	36	2468
Brand#35	SMALL POLISHED STEEL	14	2468
Brand#35	PROMO ANODIZED COPPER	49	2465
Brand#11	LARGE BRUSHED TIN	14	2456
Brand#22	SMALL BURNISHED NICKEL	45	2454
Brand#14	LARGE ANODIZED NICKEL	9	2451
Brand#24	LARGE POLISHED NICKEL	9	2449
Brand#25	PROMO BURNISHED COPPER	45	2443
Brand#15	LARGE POLISHED COPPER	14	2442
Brand#42	PROMO BRUSHED TIN	23	2434
Brand#35	STANDARD PLATED NICKEL	14	2432
Brand#43	ECONOMY PLATED COPPER	3	2429
Brand#44	LARGE PLATED BRASS	45	2427
Brand#55	ECONOMY POLISHED BRASS	49	2427
Brand#14	PROMO PLATED STEEL	9	2426
Brand#25	STANDARD BRUSHED STEEL	14	2424
Brand#41	SMALL BURNISHED NICKEL	49	2424
Brand#52	ECONOMY BRUSHED NICKEL	3	2424
Brand#53	PROMO BURNISHED BRASS	23	2424
Brand#51	ECONOMY POLISHED NICKEL	9	2423
Brand#35	STANDARD ANODIZED TIN	19	2422
Brand#22	PROMO BRUSHED TIN	49	2421
Brand#33	SMALL ANODIZED BRASS	19	2420
Brand#35	MEDIUM ANODIZED TIN	36	2420
Brand#14	LARGE ANODIZED TIN	45	2419
Brand#32	SMALL PLATED STEEL	45	2419
Brand#22	STANDARD POLISHED NICKEL	36	2416
Brand#53	STANDARD BRUSHED STEEL	19	2416
Brand#23	SMALL BRUSHED NICKEL	9	2411
Brand#41	PROMO BRUSHED COPPER	45	2411
Brand#51	LARGE PLATED NICKEL	23	2411
Brand#12	LARGE BRUSHED COPPER	45	2410
Brand#35	MEDIUM ANODIZED BRASS	9	2409
Brand#42	LARGE PLATED NICKEL	9	2409
Brand#55	ECONOMY BRUSHED TIN	9	2409
Brand#33	STANDARD PLATED NICKEL	49	2408
Brand#53	STANDARD BRUSHED COPPER	49	2408
Brand#34	PROMO ANODIZED TIN	45	2407
Brand#21	STANDARD POLISHED COPPER	45	2406
Brand#34	ECONOMY PLATED TIN	45	2406
Brand#14	LARGE BURNISHED TIN	49	2405
Brand#31	LARGE PLATED TIN	9	2403
Brand#41	LARGE POLISHED COPPER	36	2403
Brand#41	SMALL PLATED BRASS	3	2402
Brand#51	LARGE ANODIZED NICKEL	14	2402
Brand#55	SMALL BRUSHED STEEL	3	2402
Brand#12	LARGE ANODIZED COPPER	45	2401
Brand#13	STANDARD BURNISHED TIN	45	2400
Brand#25	SMALL POLISHED NICKEL	9	2400
Brand#35	MEDIUM BRUSHED BRASS	3	2400
Brand#22	ECONOMY BURNISHED COPPER	49	2399
Brand#25	STANDARD BRUSHED BRASS	45	2399
Brand#31	MEDIUM BRUSHED COPPER	45	2399
Brand#15	MEDIUM ANODIZED NICKEL	19	2398
Brand#42	ECONOMY BRUSHED NICKEL	19	2398
Brand#53	STANDARD BURNISHED TIN	45	2398
Brand#11	ECONOMY PLATED COPPER	49	2397
Brand#42	SMALL BRUSHED TIN	45	2395
Brand#33	STANDARD BRUSHED TIN	14	2394
Brand#41	SMALL PLATED COPPER	3	2393
Brand#22	MEDIUM PLATED BRASS	45	2392
Brand#35	ECONOMY POLISHED NICKEL	36	2391
Brand#42	STANDARD PLATED COPPER	45	2391
Brand#55	PROMO BRUSHED STEEL	9	2391
Brand#25	ECONOMY BRUSHED STEEL	36	2390
Brand#25	LARGE BURNISHED STEEL	23	2390
Brand#34	LARGE ANODIZED COPPER	3	2390
Brand#44	MEDIUM ANODIZED NICKEL	3	2390
Brand#54	MEDIUM ANODIZED COPPER	14	2390
Brand#12	SMALL PLATED STEEL	19	2389
Brand#12	ECONOMY BURNISHED STEEL	23	2388
Brand#23	SMALL ANODIZED NICKEL	49	2388
Brand#24	MEDIUM PLATED BRASS	3	2388
Brand#32	STANDARD POLISHED TIN	36	2388
Brand#14	ECONOMY PLATED STEEL	14	2387
