c_name	c_custkey	o_orderkey	o_orderdate	o_totalprice	sum(l_quantity)
Customer#057914135	57914135	31587747	1998-06-02	595912.84	308
Customer#018980341	18980341	532893635	1995-06-24	587502.98	301
Customer#065002141	65002141	837910631	1996-06-10	584283.8	314
Customer#046418425	46418425	659678054	1997-10-10	582322.46	323
Customer#066670549	66670549	788704869	1994-08-16	581250.28	320
Customer#064147366	64147366	1949668485	1994-10-07	580334.72	318
Customer#006714568	6714568	1872272804	1995-03-26	580193.52	319
Customer#064563425	64563425	622741799	1996-07-04	579462.94	329
Customer#060875434	60875434	711580902	1992-02-20	576898.19	311
Customer#045452078	45452078	959284834	1995-06-07	575177.03	310
Customer#024328631	24328631	531875906	1994-02-22	573811.24	318
Customer#022012370	22012370	2271743846	1996-05-10	573719.94	326
Customer#066578947	66578947	1084335783	1996-01-07	572544.29	315
Customer#071815570	71815570	2233633639	1993-07-10	570649.8	309
Customer#020610193	20610193	477171012	1992-09-12	569426.31	313
Customer#065096477	65096477	1104862880	1995-09-14	568938.99	301
Customer#054911452	54911452	1475980835	1995-09-23	568914.24	307
Customer#026263864	26263864	1409844773	1996-03-28	567739.41	310
Customer#053259524	53259524	2273581984	1997-08-30	567664.83	327
Customer#060491344	60491344	12314084	1994-05-16	567123.47	325
Customer#054386506	54386506	1593606853	1995-07-21	567004.04	304
Customer#074976712	74976712	2507106119	1992-03-17	565925.42	309
Customer#028841122	28841122	2269759811	1993-03-31	565904.96	304
Customer#063755914	63755914	1609511907	1997-04-15	565657.15	323
Customer#053986220	53986220	273600517	1995-10-10	565193.97	302
Customer#001644091	1644091	2867108994	1997-06-01	565110.37	321
Customer#070016548	70016548	312093664	1993-11-19	564962.6	330
Customer#057416008	57416008	2634699778	1996-03-17	564905.23	322
Customer#036303146	36303146	1053068901	1993-09-29	564838.35	318
Customer#002151803	2151803	422803808	1996-11-19	564630.2	308
Customer#037814458	37814458	2258575395	1992-02-01	564499.79	312
Customer#010141310	10141310	1710888930	1993-11-08	563987.21	331
Customer#073214980	73214980	2938022436	1997-08-09	563987.21	331
Customer#019431670	19431670	1607224230	1994-03-24	562857.74	334
Customer#001311268	1311268	827329219	1995-02-26	562830.62	313
Customer#068829457	68829457	224634756	1994-10-07	562757.21	317
Customer#012555347	12555347	2678901792	1997-06-22	562757.21	317
Customer#051456337	51456337	2837733026	1994-01-02	562643.19	321
Customer#067345856	67345856	1610599520	1997-10-06	562643.19	321
Customer#057520330	57520330	1556027429	1996-04-05	562566.17	302
Customer#009184316	9184316	1285575395	1993-01-21	562557.59	308
Customer#044351558	44351558	2512708901	1997-08-06	562557.59	308
Customer#012682150	12682150	58441889	1997-08-30	562557.59	308
Customer#017389997	17389997	1741986432	1997-06-04	562502.89	308
Customer#035181724	35181724	2126486977	1996-02-13	562477.51	310
Customer#004214503	4214503	1851242117	1996-05-14	562141.92	317
Customer#038220944	38220944	2605950915	1995-01-03	561910.28	316
Customer#003704218	3704218	151683879	1997-07-05	561910.28	316
Customer#036398794	36398794	268747808	1992-05-24	561587.56	313
Customer#015520198	15520198	545758819	1995-06-21	561373.49	310
Customer#023356261	23356261	2516856868	1995-03-05	561356.25	324
Customer#052890796	52890796	804847107	1992-10-28	561223.64	326
Customer#070657966	70657966	2491254721	1992-12-14	561018.12	302
Customer#067071841	67071841	2740237959	1993-12-19	560245.48	316
Customer#057092026	57092026	372185891	1995-12-05	560177.69	323
Customer#074971978	74971978	2962217473	1994-12-21	560160.99	314
Customer#014958071	14958071	38643041	1994-07-21	559988.08	304
Customer#032078843	32078843	627080706	1994-01-29	559870.14	308
Customer#004715179	4715179	1023922467	1997-07-17	559652.22	307
Customer#035934109	35934109	739001728	1994-08-11	559596.04	305
Customer#037508200	37508200	2238697090	1995-11-19	559235.22	304
Customer#023232703	23232703	516126145	1993-05-22	559199.18	328
Customer#051392921	51392921	2643473859	1996-04-29	558996.43	310
Customer#044212888	44212888	808084580	1997-03-16	558871.75	320
Customer#037647961	37647961	354501186	1993-11-17	558634.75	302
Customer#061238608	61238608	179481027	1993-02-12	558435.2	302
Customer#002008432	2008432	1626624390	1992-06-28	558369.35	306
Customer#033379460	33379460	1452487971	1993-02-01	558212.62	318
Customer#020075038	20075038	2963044198	1993-10-04	557807.36	330
Customer#045986654	45986654	2746248131	1998-03-17	557631.77	313
Customer#019040441	19040441	2681616805	1994-12-11	557532.58	328
Customer#057374197	57374197	66813285	1993-09-10	557285.73	323
Customer#065450098	65450098	2521080321	1996-09-03	557285.73	323
Customer#027677857	27677857	808602625	1996-04-06	557245.78	317
Customer#059566589	59566589	2882403394	1994-12-01	557162.62	336
Customer#065531075	65531075	1340725314	1995-01-11	557119.3	306
Customer#063888443	63888443	1130579810	1992-02-26	557062.52	312
Customer#028100819	28100819	2009110208	1992-04-14	556705.84	321
Customer#015530938	15530938	263469345	1996-08-20	556653.43	326
Customer#004794238	4794238	2349339169	1996-06-09	556252.54	310
Customer#040527410	40527410	631899905	1995-12-30	556200.32	319
Customer#072074729	72074729	612859301	1995-05-03	556193.07	328
Customer#067012982	67012982	2549557159	1995-09-09	555639.78	317
Customer#051783698	51783698	2477381346	1992-09-11	555556.88	316
Customer#018090323	18090323	2463658435	1994-08-26	555543.31	302
Customer#034501481	34501481	2864087364	1998-05-20	555502.61	312
Customer#050696026	50696026	2531115330	1994-12-18	555403.18	303
Customer#010859599	10859599	2184700704	1994-08-01	555389.14	320
Customer#047598733	47598733	1293364869	1992-11-11	555314.89	318
Customer#031135747	31135747	2958984576	1993-03-20	555274.54	318
Customer#051011374	51011374	728176419	1993-11-01	555148.94	319
Customer#033413774	33413774	233186215	1994-04-20	554952.87	301
Customer#009723472	9723472	1460319745	1997-10-18	554952.87	301
Customer#048616025	48616025	1667083300	1992-01-27	554930.67	303
Customer#018186817	18186817	323634465	1996-07-12	554928.09	310
Customer#023024233	23024233	366258304	1996-07-14	554791.64	329
Customer#053606437	53606437	1538557767	1995-10-20	554443.08	322
Customer#051896593	51896593	1481249313	1997-04-18	554440.43	325
Customer#040255213	40255213	2777712454	1993-04-16	554338.64	326
Customer#018656699	18656699	2109756321	1995-12-17	554319.97	302
