s_name	numwait
Supplier#001267509	30
Supplier#003250967	29
Supplier#000807427	28
Supplier#000863067	28
Supplier#000625730	27
Supplier#002017667	27
Supplier#002656451	27
Supplier#003019026	27
Supplier#003789026	27
Supplier#000229429	26
Supplier#000490376	26
Supplier#001018127	26
Supplier#001452489	26
Supplier#001800320	26
Supplier#002190385	26
Supplier#002581475	26
Supplier#002588739	26
Supplier#004457430	26
Supplier#004910702	26
Supplier#000237581	25
Supplier#000458965	25
Supplier#000596381	25
Supplier#000602645	25
Supplier#001083130	25
Supplier#001188888	25
Supplier#001429389	25
Supplier#001571068	25
Supplier#002473915	25
Supplier#002495623	25
Supplier#002695555	25
Supplier#002832715	25
Supplier#003447729	25
Supplier#003655731	25
Supplier#004271689	25
Supplier#000065195	24
Supplier#000237177	24
Supplier#000337282	24
Supplier#000415222	24
Supplier#000448261	24
Supplier#000736899	24
Supplier#000789063	24
Supplier#000979410	24
Supplier#001038795	24
Supplier#001063763	24
Supplier#001111301	24
Supplier#001129459	24
Supplier#001233494	24
Supplier#001266205	24
Supplier#001307661	24
Supplier#001369101	24
Supplier#001374536	24
Supplier#001399910	24
Supplier#001408946	24
Supplier#001615677	24
Supplier#001763265	24
Supplier#001839797	24
Supplier#001895654	24
Supplier#001967192	24
Supplier#002050490	24
Supplier#002220469	24
Supplier#002225553	24
Supplier#002229364	24
Supplier#002548912	24
Supplier#002817613	24
Supplier#003154830	24
Supplier#003213288	24
Supplier#003404407	24
Supplier#003554960	24
Supplier#003629876	24
Supplier#004043804	24
Supplier#004060490	24
Supplier#004228816	24
Supplier#004239836	24
Supplier#004303853	24
Supplier#004669855	24
Supplier#000014057	23
Supplier#000141248	23
Supplier#000233873	23
Supplier#000259417	23
Supplier#000260291	23
Supplier#000309460	23
Supplier#000420938	23
Supplier#000425734	23
Supplier#000426598	23
Supplier#000436593	23
Supplier#000518657	23
Supplier#000542371	23
Supplier#000561674	23
Supplier#000661484	23
Supplier#000665235	23
Supplier#000785087	23
Supplier#000928131	23
Supplier#000947850	23
Supplier#000955529	23
Supplier#001001297	23
Supplier#001011135	23
Supplier#001068595	23
Supplier#001097079	23
Supplier#001131372	23
Supplier#001168295	23
